SURABAYA,,JOMBANG,,KEDIRI,,BLITAR,,PACITAN,,GRESIK,,TULUNGAGUNG,,SIDOARJO,,LAMONGAN,,PONOROGO,,MALANG,,NGANJUK,,TRENGGALEK,,MOJOKERTO
"Sidotopo, Jawa Timur, Indonesia",,Sepanyul,,,,,,,,Masangan,,,,,,Padenganploso,,,,,,,,,,Sooko
Simolawang,,Sidokaton,,,,,,,,Melirang,,,,,,Pajangan,,,,,,,,,,
"Simomulyo, Jawa Timur, Indonesia",,Sidokerto,,,,,,,,Menganti,,,,,,Paji,,,,,,,,,,
"Simowahu, East Java",,"Sidomulyo, Megaluh",,,,,,,,Mentaras,,,,,,Palangan,,,,,,,,,,
Siwalankerto,,Sidowarek,,,,,,,,Menunggal,,,,,,Paloh,,,,,,,,,,
"Sonokwijenan, Jawa Timur, Indonesia",,Sudimoro,,,,,,,,"Mertani, Jawa Timur, Indonesia",,,,,,Pamotan,,,,,,,,,,
South Krembangan,,Sugihwaras ,,,,,,,,Metatu,,,,,,Pandanpancur,,,,,,,,,,Sumbertanggul
"Sukolilo, East Java",,Sukodadi ,,,,,,,,Mojoasem,,,,,,Pangean,,,,,,,,,,"Sumberwuluh, Jawa Timur, Indonesia"
Sumber Rejo,,Sukoiber,,,,,,,,Mojogede,,,,,,Panggang,,,,,,,,,,"Tangunan, Jawa Timur, Indonesia"
"Sumberjo, Jawa Timur, Indonesia",,Sukopinggir,,,,,,,,Mojopetung,,,,,,Pangkatrejo,,,,,,,,,,"Tinggalbuntul, East Java"
Sumur Welut,,Sukorejo     ,,,,,,,,Mojopuro Gede,,,,,,Parengan,,,,,,,,,,"Trawas, Jawa Timur, Indonesia"
"Sumurwelut, East Java",,Sukosari  ,,,,,,,,Mojopuro Wetan,,,,,,Pasarlegi,,,,,,,,,,"Trewa, East Java"
"Surabaya, Indonesia",,Sumber Agung,,,,,,,,"Mojopuro-gede, East Java",,,,,,Pasi,,,,,,,,,,Wates
"Tambak Langon Jawa Timur, Indonesia",,"Sumber Gondang, Kabuh",,,,,,,,"Mojopuro-wetan, East Java",,,,,,Pataan,,,,,,,,,,"Watukenongo, East Java"
Tambak Osowilangon,,Sumber Nongko,,,,,,,,Mojosarirejo,,,,,,Patihan,,,,,,,,,,Wonokusumo 
Tambak Wedi,,"Sumber Teguh, Kudu",,,,,,,,"Mojosarirejo, East Java",,,,,,Pelang,,,,,,,,,,
"Tambakdana, East Java",,Sumberagung,,,,,,,,Mojotengah,,,,,,"Pelang, East Java",,,,,,,,,,
Tambakdono,,Sumberagung  ,,,,,,,,"Mojotengah, East Java",,,,,,Pelangwot,,,,,,,,,,
"Tambakosowilangun, East Java",,"Sumberjae, East Java",,,,,,,,Mojowuku,,,,,,Pendowokumpul,,,,,,,,,,
Tambakrejo,,Sumberjo,,,,,,,,Mondoluku,,,,,,Pendowolimo,,,,,,,,,,
"Tambaksari, East Java",,Sumberjo ,,,,,,,,"Mondoluku, East Java",,,,,,Pengangsalan,,,,,,,,,,
"Tambaksarioso, East Java",,Sumbermulyo,,,,,,,,Morobakung,,,,,,Pengumbulanadi,,,,,,,,,,
Tanah Kali Kedinding,,"Sumberpenganten, East Java",,,,,,,,Morowudi,,,,,,Plabuhanrejo,,,,,,,,,,
Tandes,,Sumberrejo  ,,,,,,,,Mriyunan,,,,,,Plosobuden,,,,,,,,,,
Tandes Kidul,,Sumberringin,,,,,,,,Mulung,,,,,,Plososetro,,,,,,,,,,
Tandes Kidul 1,,"Sumbersari, Megaluh",,,,,,,,Munggugebang,,,,,,Plosowahyu,,,,,,,,,,
Tandes Lor 2,,"Sumobito, Jawa Timur, Indonesia",,,,,,,,Munggugianti,,,,,,Plumpang,,,,,,,,,,
"Tanjoeng Perak, East Java",,Talun Kidul,,,,,,,,Ngabetan,,,,,,Pomahan Janggan,,,,,,,,,,
Tanjungsari,,Tambak Rejo,,,,,,,,"Ngablak 2, East Java",,,,,,Porodeso,,,,,,,,,,
"Tegalsari, East Java",,"Tambar, Jogoroto",,,,,,,,"Ngablak, East Java",,,,,,Prijek Ngablag,,,,,,,,,,
Tembok Dukuh,,Tamping Mojo,,,,,,,,Ngampel,,,,,,Primpen,,,,,,,,,,
"Tenggilis Mejoyo, East Java",,Tanggalrejo,,,,,,,,"Ngampel, East Java",,,,,,Pringgoboyo,,,,,,,,,,
"Tenggulunan, East Java",,Tanggung Kramat,,,,,,,,Ngargosari,,,,,,Priyoso,,,,,,,,,,
"Tubanan, Jawa Timur, Indonesia",,Tanggungan,,,,,,,,Ngasin,,,,,,Pucakwangi,,,,,,,,,,
"Ujung, Jawa Timur, Indonesia",,Tanjung Gunung,,,,,,,,Ngawen,,,,,,Pucangro,,,,,,,,,,
Warugunung,,Tanjung Wadung,,,,,,,,"Ngembes, East Java",,,,,,Pucangtelu,,,,,,,,,,
"Warugunung, East Java",,"Tapen, Jawa Timur, Indonesia",,,,,,,,Ngemboh,,,,,,"Pucuk, East Java ",,,,,,,,,,
"Watulawang, East Java",,Tebel,,,,,,,,"Ngembuh, East Java",,,,,,"Pucuk, Jawa Timur, Indonesia",,,,,,,,,,
"Wiyung, East Java",,Tejo,,,,,,,,Ngembung,,,,,,Putatbangah,,,,,,,,,,
"Wonocolo, East Java",,"Tembelang, Jawa Timur, Indonesia",,,,,,,,"Ngembung, East Java",,,,,,Putatkumpul,,,,,,,,,,
"Wonokerto, Jawa Timur, Indonesia",,Temuwulan,,,,,,,,Ngepung,,,,,,Puter,,,,,,,,,,
"Wonokromo, East Java",,Tengaran,,,,,,,,Ngipik,,,,,,Rancang Kencono,,,,,,,,,,
Wonokusumo,,Tinggar,,,,,,,,Pacuh,,,,,,Randubener,,,,,,,,,,
"Wonorejo, Rungkut",,"Tjukir, East Java",,,,,,,,Padang Bandung,,,,,,Rayunggumuk,,,,,,,,,,
,,Tondowulan,,,,,,,,Padeg,,,,,,Rejotengah (Tejotengah),,,,,,,,,,
,,Trawasan,,,,,,,,Palebon,,,,,,Rumpuk,,,,,,,,,,
,,"Trowulan, Jawa Timur, Indonesia",,,,,,,,Panceng,,,,,,Sambangan,,,,,,,,,,
,,Tugusumberjo,,,,,,,,Pandanan,,,,,,Sambangrejo,,,,,,,,,,
,,Tunggorono,,,,,,,,Pandu,,,,,,"Sambeng, East Java ",,,,,,,,,,
,,Turi Pinggir,,,,,,,,Pangkah Kulon,,,,,,Sambopinggir,,,,,,,,,,
,,"Wangkal, East Java",,,,,,,,Pangkah Wetan,,,,,,Sambungrejo,,,,,,,,,,
,,Wangkalkepuh,,,,,,,,"Pangkah, East Java",,,,,,Sedayulawas,,,,,,,,,,
,,Watu Dakon,,,,,,,,"Pangkah-kulon, East Java",,,,,,"Sekaran, East Java ",,,,,,,,,,
,,Watugaluh,,,,,,,,"Pangkah-wetan, East Java",,,,,,"Sekaran, Jawa Timur, Indonesia",,,,,,,,,,
,,"Wonokerso, East Java",,,,,,,,Panjunan,,,,,,Sekarbagus,,,,,,,,,,
,,"Wonokerto, Wonosalam",,,,,,,,Pantenan,,,,,,Sekidang,,,,,,,,,,
,,Wonomerto,,,,,,,,Pasinan Lemahputih,,,,,,Selorejo,,,,,,,,,,
,,"Wonosalam, Jawa Timur, Indonesia",,,,,,,,"Pasinanlemahpoetih, East Java",,,,,,Semampirejo,,,,,,,,,,
,,"Wonosari, Jawa Timur, Indonesia",,,,,,,,Patarselamat,,,,,,Sendangagung,,,,,,,,,,
,,Wringinpitu,,,,,,,,Pedagangan,,,,,,Sendangduwur,,,,,,,,,,
,,Wuluh,,,,,,,,Peganden,,,,,,Sendangrejo,,,,,,,,,,
,,,,,,,,,,Pegundan,,,,,,"Sentul, East Java",,,,,,,,,,
,,,,,,,,,,Pejangganan,,,,,,Sewor,,,,,,,,,,
,,,,,,,,,,Pekalongan,,,,,,Sidobangun,,,,,,,,,,
,,,,,,,,,,Pekauman,,,,,,Sidobinangun,,,,,,,,,,
,,,,,,,,,,Pekelingan,,,,,,Sidobogem,,,,,,,,,,
,,,,,,,,,,"Pelakaran, East Java",,,,,,Sidodowo,,,,,,,,,,
,,,,,,,,,,"Pelemdadol, East Java",,,,,,Sidogembul,,,,,,,,,,
,,,,,,,,,,Pelemwatu,,,,,,Sidokelar,,,,,,,,,,
,,,,,,,,,,Pengalangan,,,,,,Sidokumpul,,,,,,,,,,
,,,,,,,,,,"Pengampon, East Java",,,,,,Sidomlangean,,,,,,,,,,
,,,,,,,,,,Pengulu,,,,,,Sidomukti,,,,,,,,,,
,,,,,,,,,,Peromaan (Paromaan),,,,,,"Siman, East Java",,,,,,,,,,
,,,,,,,,,,"Pesantren, East Java",,,,,,"Simongagrok, East Java",,,,,,,,,,
,,,,,,,,,,Petiken,,,,,,"Soko, Jawa Timur, Indonesia",,,,,,,,,,
,,,,,,,,,,"Petiken, East Java",,,,,,"Sugio, East Java ",,,,,,,,,,
,,,,,,,,,,"Petis, East Java",,,,,,"Sukobendu, East Java, Indonesia",,,,,,,,,,
,,,,,,,,,,Petisbenem,,,,,,"Sukodadi, East Java ",,,,,,,,,,
,,,,,,,,,,Petiyin Tunggal,,,,,,"Sukodadi, Jawa Timur, Indonesia",,,,,,,,,,
,,,,,,,,,,Petung,,,,,,Sukomulyo,,,,,,,,,,
,,,,,,,,,,Pinggir,,,,,,Sukorejo  ,,,,,,,,,,
,,,,,,,,,,"Plasakerep, East Java",,,,,,"Taban, East Java",,,,,,,,,,
,,,,,,,,,,"Ploso-lor, East Java",,,,,,"Tanggungprigel, East Java",,,,,,,,,,
,,,,,,,,,,"Pojok, East Java",,,,,,"Tikung, East Java ",,,,,,,,,,
,,,,,,,,,,Pongangan,,,,,,Tlogoanyar,,,,,,,,,,
,,,,,,,,,,Prambangan,,,,,,"Turi, East Java",,,,,,,,,,
,,,,,,,,,,Pranti,,,,,,"Turi, Jawa Timur, Indonesia",,,,,,,,,,
,,,,,,,,,,Prupuh,,,,,,"Wanareja, East Java",,,,,,,,,,
,,,,,,,,,,Pucung,,,,,,"Wedoro, East Java",,,,,,,,,,
,,,,,,,,,,Pudakit Barat,,,,,,"Wudi, East Java",,,,,,,,,,
,,,,,,,,,,Pudakit Timur,,,,,,,,,,,,,,,,
,,,,,,,,,,"Pule, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Pulopancikan,,,,,,,,,,,,,,,,
,,,,,,,,,,Punduttrate,,,,,,,,,,,,,,,,
,,,,,,,,,,"Punduttrate, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Purwodadi,,,,,,,,,,,,,,,,
,,,,,,,,,,Putat Lor,,,,,,,,,,,,,,,,
,,,,,,,,,,Racikulon,,,,,,,,,,,,,,,,
,,,,,,,,,,Racitengah,,,,,,,,,,,,,,,,
,,,,,,,,,,"Raci-tengah, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Raciwetan,,,,,,,,,,,,,,,,
,,,,,,,,,,Randegansari,,,,,,,,,,,,,,,,
,,,,,,,,,,Randuagung,,,,,,,,,,,,,,,,
,,,,,,,,,,"Randuagung, Jawa Timur, Indonesia",,,,,,,,,,,,,,,,
,,,,,,,,,,Randuboto,,,,,,,,,,,,,,,,
,,,,,,,,,,Randupadangan,,,,,,,,,,,,,,,,
,,,,,,,,,,Roomo,,,,,,,,,,,,,,,,
,,,,,,,,,,Sambipondok,,,,,,,,,,,,,,,,
,,,,,,,,,,Sambogunung,,,,,,,,,,,,,,,,
,,,,,,,,,,Samirplapan,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sampean, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sangkapura,,,,,,,,,,,,,,,,
,,,,,,,,,,Sawahmulya,,,,,,,,,,,,,,,,
,,,,,,,,,,Sawo,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sawo, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sedagaran,,,,,,,,,,,,,,,,
,,,,,,,,,,Sedapurklagen,,,,,,,,,,,,,,,,
,,,,,,,,,,Segoromadu,,,,,,,,,,,,,,,,
,,,,,,,,,,Sekapuk,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sekaran-kidul, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sekargadung,,,,,,,,,,,,,,,,
,,,,,,,,,,Sekarkurung,,,,,,,,,,,,,,,,
,,,,,,,,,,Sekarputih,,,,,,,,,,,,,,,,
,,,,,,,,,,"Semambung-kulon, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Semambung-wetan, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Semampir,,,,,,,,,,,,,,,,
,,,,,,,,,,"Semampir, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sembayat,,,,,,,,,,,,,,,,
,,,,,,,,,,Sembung,,,,,,,,,,,,,,,,
,,,,,,,,,,Sembung Anyar,,,,,,,,,,,,,,,,
,,,,,,,,,,Sembungan Kidul,,,,,,,,,,,,,,,,
,,,,,,,,,,Serah,,,,,,,,,,,,,,,,
,,,,,,,,,,Setro,,,,,,,,,,,,,,,,
,,,,,,,,,,Setrohadi,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidayu,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidogedung Batu,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidojangkung,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidokumpul,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sidokumpul, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sidomoro,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidomukti,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidomulyo,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidoraharjo,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidorejo,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sidorejo, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sidorukun,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidorukun,,,,,,,,,,,,,,,,
,,,,,,,,,,Sidowungu,,,,,,,,,,,,,,,,
,,,,,,,,,,Singosari,,,,,,,,,,,,,,,,
,,,,,,,,,,Sirnoboyo,,,,,,,,,,,,,,,,
,,,,,,,,,,Siwalan,,,,,,,,,,,,,,,,
,,,,,,,,,,Slempit,,,,,,,,,,,,,,,,
,,,,,,,,,,Soko (Sooko),,,,,,,,,,,,,,,,
,,,,,,,,,,Srowo,,,,,,,,,,,,,,,,
,,,,,,,,,,Suci,,,,,,,,,,,,,,,,
,,,,,,,,,,"Suci, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sukalela,,,,,,,,,,,,,,,,
,,,,,,,,,,Sukaoneng,,,,,,,,,,,,,,,,
,,,,,,,,,,Sukoanyar,,,,,,,,,,,,,,,,
,,,,,,,,,,Sukodono,,,,,,,,,,,,,,,,
,,,,,,,,,,Sukomulyo,,,,,,,,,,,,,,,,
,,,,,,,,,,Sukorame,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sukorame, Jawa Timur, Indonesia",,,,,,,,,,,,,,,,
,,,,,,,,,,Sukorejo,,,,,,,,,,,,,,,,
,,,,,,,,,,Sukowati,,,,,,,,,,,,,,,,
,,,,,,,,,,Sumari,,,,,,,,,,,,,,,,
,,,,,,,,,,Sumberame,,,,,,,,,,,,,,,,
,,,,,,,,,,Sumberejo,,,,,,,,,,,,,,,,
,,,,,,,,,,Sumbergede,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sumbergondang, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sumberwaru,,,,,,,,,,,,,,,,
,,,,,,,,,,Sumengko,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sumengko, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sumput,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sumput, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Sumurber,,,,,,,,,,,,,,,,
,,,,,,,,,,Sungai Rujing,,,,,,,,,,,,,,,,
,,,,,,,,,,Sungai Teluk,,,,,,,,,,,,,,,,
,,,,,,,,,,Sungonlegowo,,,,,,,,,,,,,,,,
,,,,,,,,,,"Sungonlegowo, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Surowiti,,,,,,,,,,,,,,,,
,,,,,,,,,,Suwari,,,,,,,,,,,,,,,,
,,,,,,,,,,Tajung Widoro,,,,,,,,,,,,,,,,
,,,,,,,,,,"Talun, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tambak,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tambak, Jawa Timur, Indonesia",,,,,,,,,,,,,,,,
,,,,,,,,,,Tambakberas,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tambakberas 2, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Tambakberas Satu, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tambakrejo,,,,,,,,,,,,,,,,
,,,,,,,,,,Tanahlandean,,,,,,,,,,,,,,,,
,,,,,,,,,,Tanggulrejo,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tanggungan, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tanjangawan,,,,,,,,,,,,,,,,
,,,,,,,,,,Tanjung,,,,,,,,,,,,,,,,
,,,,,,,,,,Tanjungan,,,,,,,,,,,,,,,,
,,,,,,,,,,Tanjungori,,,,,,,,,,,,,,,,
,,,,,,,,,,Tebalo,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tebalo, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tebaloan,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tebaloan, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tebuwung,,,,,,,,,,,,,,,,
,,,,,,,,,,Teluk Jatidawang,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tempel 2, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tenaru,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tenger, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tenggor,,,,,,,,,,,,,,,,
,,,,,,,,,,Tenggulunan,,,,,,,,,,,,,,,,
,,,,,,,,,,"Terungwangi, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tirem,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tirem, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tiremenggal,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tjermen, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Tjermenlerek, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Tlanak, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Tlapok, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tlogobendung,,,,,,,,,,,,,,,,
,,,,,,,,,,Tlogobendung,,,,,,,,,,,,,,,,
,,,,,,,,,,Tlogopatut,,,,,,,,,,,,,,,,
,,,,,,,,,,Tlogopatut,,,,,,,,,,,,,,,,
,,,,,,,,,,Tlogopojok,,,,,,,,,,,,,,,,
,,,,,,,,,,Tlogopojok,,,,,,,,,,,,,,,,
,,,,,,,,,,"Traseng, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Trate,,,,,,,,,,,,,,,,
,,,,,,,,,,"Trate Gresik, Gresik",,,,,,,,,,,,,,,,
,,,,,,,,,,"Trate, Gresik",,,,,,,,,,,,,,,,
,,,,,,,,,,"Trate, Jawa Timur, Indonesia",,,,,,,,,,,,,,,,
,,,,,,,,,,"Tugu, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tulung,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tulung 1, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Tumapel,,,,,,,,,,,,,,,,
,,,,,,,,,,"Tumpang, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Turirejo,,,,,,,,,,,,,,,,
,,,,,,,,,,"Turirejo, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Ujung Pangkah,,,,,,,,,,,,,,,,
,,,,,,,,,,"Ujungpangkah, Jawa Timur, Indonesia",,,,,,,,,,,,,,,,
,,,,,,,,,,Wadak Kidul,,,,,,,,,,,,,,,,
,,,,,,,,,,Wadak Lor,,,,,,,,,,,,,,,,
,,,,,,,,,,Wadeng,,,,,,,,,,,,,,,,
,,,,,,,,,,"Wadung, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Wahas,,,,,,,,,,,,,,,,
,,,,,,,,,,"Wanakasian, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Watang, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Watestanjung,,,,,,,,,,,,,,,,
,,,,,,,,,,Watuagung,,,,,,,,,,,,,,,,
,,,,,,,,,,"Watuagung, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Watugadjah, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Watu-wetan, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Wedani,,,,,,,,,,,,,,,,
,,,,,,,,,,"Wedani, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Wedara-kulon, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Wedoroanam, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Wedoroanom,,,,,,,,,,,,,,,,
,,,,,,,,,,"Windu Dua, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Wonokerto,,,,,,,,,,,,,,,,
,,,,,,,,,,Wonorejo,,,,,,,,,,,,,,,,
,,,,,,,,,,"Wonosari 3, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Wotan,,,,,,,,,,,,,,,,
,,,,,,,,,,Wotansari,,,,,,,,,,,,,,,,
,,,,,,,,,,Wringin Anom,,,,,,,,,,,,,,,,
,,,,,,,,,,Wringinanom,,,,,,,,,,,,,,,,
,,,,,,,,,,"Wringinanom, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Wringinkurung, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,"Wringinwoh, East Java",,,,,,,,,,,,,,,,
,,,,,,,,,,Yosowilangun,,,,,,,,,,,,,,,,
,,,,,,,,,,"Yosowilangun, Jawa Timur, Indonesia",,,,,,,,,,,,,,,,
