SURABAYA,,JOMBANG,,KEDIRI,,BLITAR,,PACITAN,,GRESIK,,TULUNGAGUNG,,SIDOARJO,,LAMONGAN,,PONOROGO,,MALANG,,NGANJUK,,TRENGGALEK,,MOJOKERTO
60163,,Bangsri,,64173,,Bajang,,Gunungsari,,"Bakung, East Java",,"Kalidawir, Jawa Timur, Indonesia",,"Jati, Jawa Timur, Indonesia",,"Bapuh-baru, East Java",,"Jenangan, Jawa Timur, Indonesia",,"Bumiayu, Jawa Timur, Indonesia",,Kapas,,Parakan,,"Balongtjangak, East Java"
60164,,Banjar Dowo,,64174,,Bendo,,Hadiluwih,,"Balekambang, East Java",,Kampungdalem,,"Jimbaran-kulon, East Java",,Beru,,Kadipaten,,"Bunut-Wetan, Jawa Timur, Indonesia",,Karangsono,,"Poele 1, East Java",,"Bangsal, Jawa Timur, Indonesia"
60165,,Banjar Sari,,64175,,Bendogerit,,Hadiwarno,,Balikterus,,Karangwaru,,"Jimbaran-wetan, East Java",,Besur,,Kanitem,,"Candirenggo, Jawa Timur, Indonesia",,Karangtengah ,,"Pogalan, Jawa Timur, Indonesia",,"Bangun, East Java"
60171,,Banjaragung ,,64176,,"Bendorejo, East Java",,Jatigunung,,Balong Panggang,,Kauman    ,,"Joho, East Java",,Blajo,,Kepatihan     ,,"Dadapan, Jawa Timur, Indonesia",,Kauman,,Rejowinangun,,Banjaragung
60172,,Banyuarang,,64181,,Blitar,,Jatimalang,,"Balongdinding, East Java",,Kauman     ,,Juwet Kenongo,,Blawi,,"Kesugihan, East Java, Indonesia",,"Dampit, Jawa Timur, Indonesia",,Kebonagung  ,,Sambilrejo,,Belahantengah
60173,,Barong Sawahan,,64182,,"Bumirejo, Jawa Timur, Indonesia",,Jeruk,,"Balongjrambah, East Java",,Kedungsoko,,"Kadelesan, East Java",,Blawirejo,,"Pulung, Jawa Timur, Indonesia",,"Darungan, Jawa Timur, Indonesia",,Kedungdowo,,Sukosari ,,Bendunganjati
60174,,Bawangan,,64183,,Dayu,,Jetak,,Balongmojo,,"Kedungwaru, Jawa Timur, Indonesia",,"Kajeksan, East Java",,"Bluluk, East Java ",,Ketro,,"Dau, Jawa Timur, Indonesia",,Kedungsoko ,,Sumberdadi,,Bening
60175,,Bedah Lawak,,64211,,Doko,,Jetis Kidul,,Balongpanggang,,Kenayan,,Kalitengah,,Blumbang,,Mangkujayan,,"Dawuhan 2, East Java",,"Kelutan, Ngronggot",,Sumbergedong,,Beratkulon
60176,,"Bejijong, East Java",,64212,,"Gabru, East Java",,"Jetis-kidul, East Java",,"Balongpanggang, East Java",,Kepatihan ,,"Kampak, East Java",,Bluri,,Mangunsuman,,"Dawuhan, East Java",,Kemlokolegi,,Surodakan,,Beratwetan
60177,,Bendet,,64213,,"Gambar, East Java",,Jetislor,,"Balongsari, Jawa Timur, Indonesia",,Ketanon,,"Karangbong, Jawa Timur, Indonesia",,Bogobabadan,,"Mlarak, Jawa Timur, Indonesia",,Gadingkasri,,Kendalrejo,,"Suruh-wetan, East Java",,Betro
60178,,Bendungan,,64214,,"Gandusari, Jawa Timur, Indonesia",,Jlubang,,Balongtunjung,,"Krenggan, East Java",,Kebakalan,,Bojoasri,,"Ngebel, Jawa Timur, Indonesia",,"Genengan, Jawa Timur, Indonesia",,Kepanjen ,,Tamanan ,,Bicak
60179,,"Betek, Mojoagung",,64215,,Gaprang,,Kalak,,"Balongwangon, East Java",,Kutoanyar,,"Kebaron, Jawa Timur, Indonesia",,Botoputih,,"Ngrajoen, East Java, Indonesia",,"Glagaharun, East Java",,"Kepuh,Kertosono",,"Tasikmadoe, East Java",,Bleberan
60182,,Blimbing,,64216,,"Garum, Jawa Timur, Indonesia",,Kalikuning,,Bambe,,Majan,,"Keboananom, Jawa Timur, Indonesia",,Brangsi,,"Ngrayun, Jawa Timur, Indonesia",,"Glagahombo, East Java",,Kerep Kidul,,"Toegoe 1, East Java",,Blimbingsari
60183,,"Blimbing, Jawa Timur, Indonesia",,64217,,Gedog,,"Kampoeng Tempuran, East Java",,"Bambe, Jawa Timur, Indonesia",,Mangunsari,,"Keboansikep, Jawa Timur, Indonesia",,Brengkok,,"Ngumpul, Jawa Timur, Indonesia",,"Glendangan, East Java",,Ketawang,,"Watulimo, Jawa Timur, Indonesia",,Blooto
60184,,Bongkot,,64218,,"Gogoniti, East Java",,Karanganyar,,"Bandung 2, East Java",,"Ngantru, Jawa Timur, Indonesia",,"Keboharan, Jawa Timur, Indonesia",,"Brondong, East Java ",,Ngunut,,"Gondanglegi-wetan, East Java",,Kudu,,"Wonocoyo, Jawa Timur, Indonesia",,Brangkal
60185,,Brambang,,64219,,Jatinom,,Karanggede,,Bandungsekaran,,"Ngoedjang, East Java",,"Kedinding, East Java",,Bronjong,,Nologaten,,"Gunungrejo, Jawa Timur, Indonesia",,Kweden,,"Wonocoyo, Trenggalek",,Brayublandong
60186,,Brangkalan,,64221,,"Jegu, Sutojayan",,Karangnongko,,Bangeran,,"Ngujang, Jawa Timur, Indonesia",,"Kedungbanteng, Tanggulangin",,Brumbun,,Paju,,"Jambearjo, East Java",,Lengkonglor,,,,Brayung
